symbol,cumulative_return,price_distance,market_return,relative_distance
XRP,2.9429038855668583,2.867647597539621,0.07525628802723694,38.105089590676535
BGB,2.8705768589019027,2.795320570874666,0.07525628802723694,37.144013399424864
TKX,2.7194739182543772,2.64421763022714,0.07525628802723694,35.136168678292215
HBAR,2.180548831399532,2.105292543372295,0.07525628802723694,27.974971906803887
XDC,1.8601579373413726,1.7849016493141356,0.07525628802723694,23.71764135733269
XLM,1.5734681471610519,1.498211859133815,0.07525628802723694,19.90812858842544
GT,1.4752787254178497,1.4000224373906127,0.07525628802723694,18.60339480049711
CRV,1.3550026692801649,1.279746381252928,0.07525628802723694,17.00517544513701
ADA,0.8503777633326177,0.7751214753053808,0.07525628802723694,10.29975694555712
STX,-0.6665437536358476,0.7418000416630846,0.07525628802723694,9.856984195056372
WLD,-0.6622072265277167,0.7374635145549536,0.07525628802723694,9.799360742959433
FET,-0.6520150821325454,0.7272713701597824,0.07525628802723694,9.663928280605157
OP,-0.612627958896383,0.6878842469236199,0.07525628802723694,9.140555094541192
INJ,-0.6066963861526928,0.6819526741799298,0.07525628802723694,9.06173679378281
SEI,-0.5885799337613484,0.6638362217885854,0.07525628802723694,8.821006711735878
TAO,-0.5726335823111527,0.6478898703383896,0.07525628802723694,8.60911277080134
TIA,-0.5692258604445878,0.6444821484718247,0.07525628802723694,8.563831214191326
NEAR,-0.5566905137793479,0.6319468018065848,0.07525628802723694,8.397262453044045
JUP,-0.5434280524429198,0.6186843404701567,0.07525628802723694,8.221031845820525
DEXE,0.6874292689194401,0.6121729808922032,0.07525628802723694,8.134509380407442
GRT,-0.5211763650112886,0.5964326530385256,0.07525628802723694,7.925353065815088
APT,-0.5065768290024018,0.5818331170296387,0.07525628802723694,7.731355509044776
POL,-0.5030446534255215,0.5783009414527585,0.07525628802723694,7.684420220719076
TON,-0.4571402387859588,0.5323965268131957,0.07525628802723694,7.074445747583371
ARB,-0.455439837666903,0.5306961256941399,0.07525628802723694,7.05185094303441
BONK,-0.45360781731232547,0.5288641053395624,0.07525628802723694,7.027507191799769
FTN,0.6013217788210368,0.5260654907937998,0.07525628802723694,6.990319408305189
TRX,0.5990067373829935,0.5237504493557565,0.07525628802723694,6.959557308569345
ALGO,0.5845354041433239,0.509279116116087,0.07525628802723694,6.767263300732657
KAS,-0.39928029089447914,0.4745365789217161,0.07525628802723694,6.305607031135666
LEO,0.5497612786042874,0.4745049905770504,0.07525628802723694,6.305187287543553
ICP,-0.37242418459926674,0.4476804726265037,0.07525628802723694,5.948745073162232
STETH,-0.35905075106839146,0.4343070390956284,0.07525628802723694,5.771039875610699
WETH,-0.3586519612295007,0.43390824925673765,0.07525628802723694,5.765740785669585
ETH,-0.35838701631359593,0.43364330434083287,0.07525628802723694,5.762220217184876
RETH,-0.35512161334219927,0.4303779013694362,0.07525628802723694,5.718829783548091
RSETH,-0.35097402959822654,0.4262303176254635,0.07525628802723694,5.6637169969265715
WEETH,-0.34986923264793013,0.42512552067516707,0.07525628802723694,5.649036536605481
WSTETH,-0.34944689980055654,0.4247031878277935,0.07525628802723694,5.643424608905556
SHIB,-0.33415661257935103,0.40941290060658797,0.07525628802723694,5.440248401016168
FIL,-0.3213483439456818,0.39660463197291873,0.07525628802723694,5.270053072899086
AVAX,-0.2691351903679846,0.34439147839522155,0.07525628802723694,4.5762485424550645
PEPE,-0.2688324165916709,0.34408870461890784,0.07525628802723694,4.572225306865712
RENDER,-0.2671908009023287,0.34244708892956566,0.07525628802723694,4.550411638767333
UNI,-0.26574176230609403,0.34099805033333097,0.07525628802723694,4.531156920866414
ENA,-0.20981699464455528,0.2850732826717922,0.07525628802723694,3.788032736462072
XMR,0.34882106151365644,0.2735647734864195,0.07525628802723694,3.6351085159476675
ETC,-0.1944497226345102,0.26970601066174715,0.07525628802723694,3.583833560381486
JASMY,-0.18598595610227342,0.26124224412951036,0.07525628802723694,3.4713676554836312
DOGE,0.32320501807262847,0.24794873004539153,0.07525628802723694,3.294724421641064
OKB,0.28755766539302163,0.2123013773657847,0.07525628802723694,2.821045030668375
SOL,-0.130135451771211,0.20539173979844794,0.07525628802723694,2.729230276732651
DOT,-0.12921396775981753,0.20447025578705447,0.07525628802723694,2.716985665211817
EOS,0.26930693656501403,0.1940506485377771,0.07525628802723694,2.5785306932431453
WBTC,0.25909693144587664,0.1838406434186397,0.07525628802723694,2.44286089890726
BTC,0.2588240650220712,0.1835677769948343,0.07525628802723694,2.4392350700103225
CBBTC,0.25741629082571316,0.18216000279847622,0.07525628802723694,2.420528670408889
SOLVBTC,0.25542589594872145,0.1801696079214845,0.07525628802723694,2.3940804502113773
LBTC,0.25219241336755127,0.17693612534031433,0.07525628802723694,2.351114172363606
BNSOL,-0.09760032513872607,0.172856613165963,0.07525628802723694,2.296905915734275
ONDO,0.23967520796487363,0.1644189199376367,0.07525628802723694,2.1847864709740903
BCH,-0.0739142766132912,0.14917056464052814,0.07525628802723694,1.9821674513967518
AAVE,-0.06948743244704914,0.14474372047428608,0.07525628802723694,1.9233438728987016
XAUT,0.20554392192602977,0.13028763389879283,0.07525628802723694,1.7312524616101024
ATOM,-0.054664566633546796,0.12992085466078374,0.07525628802723694,1.726378726170529
KCS,0.20508342635107524,0.1298271383238383,0.07525628802723694,1.7251334304031969
FLR,0.17249580713961077,0.09723951911237383,0.07525628802723694,1.2921115518902642
LINK,0.16977681203144535,0.0945205240042084,0.07525628802723694,1.255981745605089
BNB,-0.015043562702042212,0.09029985072927915,0.07525628802723694,1.1998977506915782
USDS,-0.006063193547590995,0.08131948157482793,0.07525628802723694,1.0805672682845664
PYUSD,-0.0008169036347931424,0.07607319166203008,0.07525628802723694,1.0108549551965345
USDE,-0.0004959088404593581,0.0757521968676963,0.07525628802723694,1.0065896000647796
USDT,-4.279360622427841e-05,0.07529908163346122,0.07525628802723694,1.0005686382805485
DAI,0.0003418508044983337,0.0749144372227386,0.07525628802723694,0.9954575117447381
USDC,0.0004021277683863289,0.07485416025885061,0.07525628802723694,0.9946565558981492
BSC-USD,0.0004769803386537319,0.07477930768858321,0.07525628802723694,0.99366192046994
FDUSD,0.0012248469789553074,0.07403144104828163,0.07525628802723694,0.9837243237600025
JLP,0.12628568222063397,0.051029394193397026,0.07525628802723694,0.6780748231287775
QNT,0.02613224911789569,0.04912403890934125,0.07525628802723694,0.6527566027647039
LTC,0.12159290204058704,0.0463366140133501,0.07525628802723694,0.6157175065102843
SUI,0.12034885555450092,0.04509256752726398,0.07525628802723694,0.5991867086368114
MNT,0.11945696644683479,0.04420067841959785,0.07525628802723694,0.5873353520120556
NEXO,0.03951809013453267,0.03573819789270427,0.07525628802723694,0.4748865354582705
MKR,0.11052868302118823,0.035272394993951295,0.07525628802723694,0.4686969809245099
CRO,0.10981997896049633,0.034563690933259394,0.07525628802723694,0.45927977368150313
VET,0.046461003672453316,0.028795284354783623,0.07525628802723694,0.38262961288180947
SUSDE,0.05161666468699533,0.02363962334024161,0.07525628802723694,0.31412156990371226
